analysis_target,target_kind,kinetic_model,is_best_by_aicc,fit_success,n_observations,rate_constant,rate_constant_se,rate_constant_ci95_low,rate_constant_ci95_high,half_life,t90,t95,plateau_area,lag_time,fit_rmse,r_squared,aic,aicc,bic,durbin_watson,residual_lag1_autocorrelation,ljung_box_pvalue,fit_qc_pass,fit_qc_failure_reasons
candidate_5p79,fixed_region,zero_order,False,False,8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,curve_fit_failed: leastsq() got an unexpected keyword argument 'max_nfev'
candidate_5p79,fixed_region,first_order_decay,False,True,8,1.0012696521194411e-12,0.23471604412807678,-0.5743294700298576,0.5743294700318602,692268240720.8922,2299665318048.98,2991933558769.8716,0.0,nan,13.373071975215375,-2.9594104944408173e-12,45.49189009608791,47.891890096087906,45.650773179447576,0.5589640184956816,0.8149290477993785,0.6514068015045326,False,residual_autocorrelation_optimistic_uncertainty
candidate_5p79,fixed_region,first_order_formation,True,True,8,1.1814292643423128,0.5273944784986822,-0.10905853532453813,2.4719170640091637,0.5867022271077836,1.9489826115623323,2.535684838670116,43.99271384878791,nan,4.408493591165702,0.8913278990085315,27.73652866878415,30.13652866878415,27.895411752143822,2.233279903574482,-0.342917865735445,0.8804585342380379,True,
candidate_5p79,fixed_region,first_order_formation_lag,False,True,8,8.808661964326427,9.048806206871719,-14.452034905251155,32.06935883390401,0.07868927010334517,1.0811247843442835,1.1598140544476288,39.52218654724339,0.819724687221801,2.4150937872832374,0.9673858820589561,20.107809946630955,26.107809946630955,20.34613457167046,2.148410143604697,-0.6566454859139966,0.6190504682372749,False,residual_autocorrelation_optimistic_uncertainty
candidate_6p10,fixed_region,zero_order,False,False,8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,curve_fit_failed: leastsq() got an unexpected keyword argument 'max_nfev'
candidate_6p10,fixed_region,first_order_decay,False,True,8,1.0000015315165433e-12,0.6134393413762737,-1.501031994371174,1.5010319943731742,693146118995.1971,2302581566552.2847,2995727685547.4814,0.0,nan,1.9552462431727038,-4.5075054799781356e-13,14.728258257482414,17.128258257482415,14.887141340842085,2.3377431945746254,-0.19575748085837325,0.9231367642926337,True,
candidate_6p10,fixed_region,first_order_formation,True,True,8,0.20860964539379642,2.0492739361688144,-4.805783035260194,5.223002326047786,3.322699577248588,11.037769076532449,14.360468653781036,6.819182012063678,nan,1.8481879575507854,0.10651070803690765,13.827290826862361,16.22729082686236,13.986173910222032,2.6780335772964228,-0.35690735258530304,0.541347596973064,True,
candidate_6p10,fixed_region,first_order_formation_lag,False,True,8,2.6589342624168677,7.045297773065844,-15.451580219675172,20.769448744508907,0.26068609155079353,1.76371574616446,2.0244018377152533,2.6611702157487147,0.8977352946954996,1.778400430764447,0.17271301963286134,15.211429214208717,21.211429214208717,15.449753839248224,2.796213962494139,-0.4196674562714014,0.5161210464137139,False,residual_autocorrelation_optimistic_uncertainty
P003,peak_family,zero_order,False,False,7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,curve_fit_failed: leastsq() got an unexpected keyword argument 'max_nfev'
P003,peak_family,first_order_decay,False,True,7,1.000000947534553e-12,0.19987175279234148,-0.513786697183785,0.513786697185785,693146523779.6637,2302582911217.1763,2995729434996.84,0.0,nan,7.016356691309086,-2.6645352591003757e-12,31.27541730863413,34.27541730863413,31.167237606744756,0.9350260331963487,0.4225364393163742,nan,False,residual_autocorrelation_optimistic_uncertainty
P003,peak_family,first_order_formation,True,True,7,1.0007929375284146,0.5853844393171128,-0.5039856690443043,2.5055715441011337,0.6925979936187003,2.300760733464579,2.993358727083279,40.505495219555904,nan,4.790641066199723,0.5338089328050536,25.933299314465103,28.933299314465103,25.82511961257573,1.275835996604888,-0.05748411774985288,nan,True,
P003,peak_family,first_order_formation_lag,False,True,7,6.523056368798029,3.6530120917268443,-3.619331172505321,16.66544391010138,0.10626110543448639,1.1711020135812151,1.2773631190157015,35.11918079499422,0.8181102620446066,2.035743830903544,0.9158172834124038,15.952057793724615,23.952057793724613,15.789788240890555,1.6077706589986065,-0.4192046565407466,nan,False,residual_autocorrelation_optimistic_uncertainty
P008,peak_family,zero_order,False,False,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,insufficient_observations (2 < 3)
P008,peak_family,first_order_decay,False,False,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,insufficient_observations (2 < 3)
P008,peak_family,first_order_formation,False,False,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,insufficient_observations (2 < 3)
P008,peak_family,first_order_formation_lag,False,False,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,insufficient_observations (2 < 4)
